citic,中信银行
icbc,工商银行
post,中国邮政
cmb,招商银行
boc,中国银行
cmbc,民生银行
gdb,广发银行
bcom,交通银行
ccb,建设银行
bob,北京银行
pab,平安银行
ceb,光大银行
cib,兴业银行
spdb,浦发银行
hxb,华夏银行
jsb,江苏银行
drcb,东莞农村商业银行
hbnx,河北省农村信用社
szrcb,深圳农村商业银行
bolj,龙江银行
zjtlcb,浙江泰隆银行
gxnx,广西农村信用社
jsnx,江苏农村商业银行
hunnx,湖南农村信用社
hkb,汉口银行
bjrcb,北京农商行
bojn,济宁银行
sdb,深圳发展银行
hnnx,河南省信用社
srcb,上海农商行
cqrcb,重庆农商行
bosj,盛京银行
jlnx,吉林省农村信用社
grcb,广州农商行
hsb,徽商银行
scnx,四川省农村信用社
czb,浙商银行
hzb,杭州银行
nbcb,宁波银行
ynnx,云南省农村农信社
bsb,包商银行
hnrcc,海南省农村信用社
bogy,贵阳银行
hljnx,黑龙江农村信用社
hbcl,湖北银行
njcb,南京银行
bonc,南昌银行
boyk,营口银行
jzcb,晋中银行
zjgrcb,张家港农商银行
nmgnx,内蒙古农村信用社
shxnx,陕西省农村信用社
boxm,厦门银行
bojl,吉林银行
chab,长安银行
bogl,桂林银行
lsb,临商银行
gzrcc,广州市农村信用社
wzcb,温州银行
hubnx,湖北省农村信用社
rzb,日照银行
gsnx,甘肃省农村信用社
bohrb,哈尔滨银行
boxj,华融湘江银行
lzcb,兰州银行
qdccb,青岛银行
jzb,锦州银行
ksrcb,昆山农商银行
botz,台州银行
gdnycb,未知
abc,农业银行
qhnx,青海省农村信用社
shb,上海银行
jjccb,九江银行
gznx,贵州省农村信用社
egb,恒丰银行
cdrcb,成都农商银行
boxia,西安银行
bocd,成都银行
中国交通银行,交通银行
中国光大银行,光大银行
中国民生银行,民生银行
云南省农村农信社,云南省农村信用社
北京农商行,北京农村商业银行
天津滨海农村商业银行,天津农商银行
广州农商行,广州农村商业银行
河南省信用社,河南省农村信用社
重庆农商行,重庆农村商业银行
黑龙江农信,黑龙江农村信用社
上海农商行,上海农村商业银行
,未知
cbhb,渤海银行
sdeb,顺德农商银行
webank,微众银行
邮政储蓄,中国邮政
hanabank,韩亚银行
zjnx,浙江农信银行
zyb,中原银行